UserStoryID,CommitSHA,Author,Message,FileChanged,ChangedFunctions
US-01,6826c789d5bcf1ce4564b3bf5996f24250b2129a,Nithishrish23,"US-01: Add new task functionality\n\nFrontend:\n- Add task input form with submit button\n- Display task list\n- Integrate with backend API\n\nBackend:\n- Implement POST /api/tasks endpoint\n- Add in-memory task storage\n- Return task with ID, name, status, created_at",backend/app.py,"get_tasks, add_task"
US-01,6826c789d5bcf1ce4564b3bf5996f24250b2129a,Nithishrish23,"US-01: Add new task functionality\n\nFrontend:\n- Add task input form with submit button\n- Display task list\n- Integrate with backend API\n\nBackend:\n- Implement POST /api/tasks endpoint\n- Add in-memory task storage\n- Return task with ID, name, status, created_at",package-lock.json,
US-01,6826c789d5bcf1ce4564b3bf5996f24250b2129a,Nithishrish23,"US-01: Add new task functionality\n\nFrontend:\n- Add task input form with submit button\n- Display task list\n- Integrate with backend API\n\nBackend:\n- Implement POST /api/tasks endpoint\n- Add in-memory task storage\n- Return task with ID, name, status, created_at",package.json,
US-01,6826c789d5bcf1ce4564b3bf5996f24250b2129a,Nithishrish23,"US-01: Add new task functionality\n\nFrontend:\n- Add task input form with submit button\n- Display task list\n- Integrate with backend API\n\nBackend:\n- Implement POST /api/tasks endpoint\n- Add in-memory task storage\n- Return task with ID, name, status, created_at",src/App.jsx,
US-02,7165b4cd889742d76431c6d823d708197a641a09,lingesh-Codedtx,US-02: View all tasks in order of creation\n\nBackend:\n- Update GET /api/tasks to return tasks sorted by created_at\n- Ensure consistent task ordering\n\nFrontend:\n- Already displaying all tasks from US-01,backend/app.py,
US-03,3545227f64947622fa22912dbd1563346809556f,lingesh-Codedtx,US-03: Mark task as completed with checkbox\n\nFrontend:\n- Add checkbox to each task\n- Toggle completed status on click\n- Apply strikethrough style to completed tasks\n\nBackend:\n- Implement PATCH /api/tasks/<id>/complete endpoint\n- Toggle task status between pending and completed,backend/app.py,complete_task
US-03,3545227f64947622fa22912dbd1563346809556f,lingesh-Codedtx,US-03: Mark task as completed with checkbox\n\nFrontend:\n- Add checkbox to each task\n- Toggle completed status on click\n- Apply strikethrough style to completed tasks\n\nBackend:\n- Implement PATCH /api/tasks/<id>/complete endpoint\n- Toggle task status between pending and completed,src/App.jsx,
US-04,6bf6a1bc48080be9269fd73c19b5b1659092e910,Nithishrish23,"US-04: Edit existing task functionality\n\nFrontend:\n- Add Edit button to each task\n- Implement inline editing mode\n- Save/Cancel buttons for editing\n- Keyboard shortcuts (Enter to save, Escape to cancel)\n\nBackend:\n- Implement PUT /api/tasks/<id> endpoint\n- Update task name",backend/app.py,update_task
US-04,6bf6a1bc48080be9269fd73c19b5b1659092e910,Nithishrish23,"US-04: Edit existing task functionality\n\nFrontend:\n- Add Edit button to each task\n- Implement inline editing mode\n- Save/Cancel buttons for editing\n- Keyboard shortcuts (Enter to save, Escape to cancel)\n\nBackend:\n- Implement PUT /api/tasks/<id> endpoint\n- Update task name",src/App.jsx,
US-04,6bf6a1bc48080be9269fd73c19b5b1659092e910,Nithishrish23,"US-04: Edit existing task functionality\n\nFrontend:\n- Add Edit button to each task\n- Implement inline editing mode\n- Save/Cancel buttons for editing\n- Keyboard shortcuts (Enter to save, Escape to cancel)\n\nBackend:\n- Implement PUT /api/tasks/<id> endpoint\n- Update task name",backend/app.py,update_task
